row_id,date,continent_code,country_name,country_code,state_province,population,city_town,distance,latitude,longitude,hazard_type,landslide_type,landslide_size,trigger
42,2007-03-22,NA,United States,US,Ohio,17288,New Philadelphia,3.33522,40.5175,-81.4305,Landslide,Landslide,small,Rain
59,2007-04-14,NA,Canada,CA,Quebec,42786,Châteauguay,2.98682,45.3226,-73.7771,Landslide,Riverbank collapse,small,Rain
61,2007-04-15,NA,United States,US,Kentucky,6903,Pikeville,5.66542,37.4325,-82.4931,Landslide,Landslide,small,Downpour
64,2007-04-20,NA,United States,US,Kentucky,6903,Pikeville,0.23715,37.4814,-82.5186,Landslide,Landslide,small,Rain
67,2007-04-24,NA,United States,US,South Dakota,2540,Dakota Dunes,2.48033,42.4941,-96.4576,Landslide,Landslide,small,Rain
77,2007-05-21,SA,Colombia,CO,Risaralda,440118,Pereira,0.62022,4.8081,-75.6941,Landslide,Mudslide,large,Rain
105,2007-06-27,SA,Ecuador,EC,Zamora-Chinchipe,15276,Zamora,0.47714,-4.065,-78.951,Landslide,Landslide,medium,Downpour
106,2007-06-27,SA,Ecuador,EC,Loja,117796,Loja,0.35649,-3.99,-79.205,Landslide,Landslide,medium,Downpour
107,2007-06-27,SA,Ecuador,EC,Pichincha,5114,Sangolquí,33.94603,-0.356,-78.148,Landslide,Landslide,medium,Downpour
124,2007-07-13,NA,Dominican Republic,DO,Distrito Nacional,13456,San Carlos,1.70298,18.4757,-69.914,Landslide,Landslide,small,Unknown
138,2007-07-24,NA,United States,US,Texas,175396,Grand Prairie,5.66936,32.7883,-97.0317,Landslide,Landslide,small,Rain
185,2007-08-14,NA,United States,US,Colorado,2475,Meeker,10.87949,39.9425,-107.8818,Landslide,Mudslide,medium,Rain
186,2007-08-17,NA,Dominica,DM,Saint Paul,702,Pont Cassé,3.39516,15.3379,-61.361,Landslide,Mudslide,small,Tropical cyclone
187,2007-08-18,NA,United States,US,Minnesota,2868,Caledonia,22.31062,43.596,-91.2256,Landslide,Landslide,medium,Rain
188,2007-08-18,NA,United States,US,Wyoming,9520,Cody,64.74594,44.4659,-109.8662,Landslide,Landslide,small,Rain
189,2007-08-18,NA,United States,US,Minnesota,106769,Rochester,0.9999,44.0304,-92.4671,Landslide,Mudslide,small,Rain
193,2007-08-19,NA,United States,US,Wisconsin,51320,La Crosse,13.62525,43.6796,-91.2194,Landslide,Complex,medium,Rain
194,2007-08-19,NA,United States,US,Wisconsin,51320,La Crosse,12.91337,43.689,-91.2806,Landslide,Mudslide,medium,Rain
197,2007-08-20,NA,United States,US,West Virginia,1526,Glendale,3.492,39.958,-80.7935,Landslide,Mudslide,small,Rain
198,2007-08-21,NA,Guatemala,GT,Alta Verapaz,2006,Lanquín,13.39817,15.6046,-90.0853,Landslide,Landslide,medium,Tropical cyclone
199,2007-08-21,NA,Guatemala,GT,Izabal,18994,Morales,12.55184,15.5163,-88.9286,Landslide,Landslide,medium,Tropical cyclone
201,2007-08-23,NA,Mexico,MX,Puebla,1414,Xochitlaxco (San Baltazar),1.68294,19.9333,-97.85,Landslide,Mudslide,medium,Tropical cyclone
268,2007-09-17,NA,United States,US,Colorado,4518,New Castle,4.25758,39.5542,-107.5798,Landslide,Mudslide,medium,Rain
277,2007-09-22,NA,Guatemala,GT,Guatemala,994938,Guatemala City,2.79113,14.6229,-90.5316,Landslide,Mudslide,medium,Rain
284,2007-09-28,NA,Mexico,MX,Puebla,3761,Xaltepuxtla,7.93258,20.2,-97.9,Landslide,Mudslide,medium,Tropical cyclone
307,2007-10-13,SA,Colombia,CO,Cauca,9985,Suárez,8.46579,2.9437,-76.7719,Landslide,Mudslide,large,Continuous rain
314,2007-10-17,NA,Jamaica,JM,Saint Thomas,2382,Bath,0.21825,17.95,-76.35,Landslide,Mudslide,medium,Rain
323,2007-10-24,NA,Costa Rica,CR,Puntarenas,6540,Miramar,3.82425,10.0715,-84.7575,Landslide,Mudslide,medium,Downpour
333,2007-10-29,NA,Dominican Republic,DO,San Cristóbal,66784,Bajos de Haina,1.72138,18.427,-70.044,Landslide,Mudslide,medium,Tropical cyclone
334,2007-10-29,NA,Haiti,HT,Ouest,1234742,Port-au-Prince,2.72168,18.5146,-72.3361,Landslide,Complex,medium,Tropical cyclone
339,2007-10-31,NA,Jamaica,JM,Saint Thomas,2634,Easington,6.5194,17.9384,-76.6479,Landslide,Landslide,medium,Tropical cyclone
340,2007-10-31,NA,Jamaica,JM,Saint Catherine,4085,Riversdale,5.46381,18.2152,-76.9659,Landslide,Complex,medium,Rain
341,2007-10-31,NA,Jamaica,JM,Saint Andrew,1088,Gordon Town,0.96514,18.037,-76.7088,Landslide,Landslide,medium,Tropical cyclone
342,2007-10-31,NA,Mexico,MX,Tabasco,4468,Buenavista,4.19108,17.9493,-92.5534,Landslide,Landslide,medium,Rain
357,2007-11-17,NA,Trinidad and Tobago,TT,Eastern Tobago,0,Roxborough,7.33295,11.2965,-60.6312,Landslide,Landslide,medium,Rain
376,2007-11-30,NA,United States,US,California,3117,Rancho Santa Fe,6.48824,33.0409,-117.1378,Landslide,Debris flow,small,Rain
396,2007-12-16,NA,United States,US,Pennsylvania,3174,Trafford,0.27058,40.3875,-79.7569,Landslide,Landslide,medium,Rain
397,2007-12-19,SA,Colombia,CO,Tolima,4892,Ambalema,6.9613,4.847,-74.7631,Landslide,Landslide,large,Rain
436,2008-01-28,NA,United States,US,California,42808,La Jolla,1.15586,32.8464,-117.2619,Landslide,Landslide,medium,Rain
